date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII
2019-06-24,0.8573869,0.60557866,0.55704635,4.133449,0.65944594,-0.57734394,0.3793066,0.6565244
2019-06-25,0.8448545,0.59493464,0.5493209,3.878779,0.6441596,-0.577318,0.34935078,0.64317816
2019-06-26,0.8289024,0.5825467,0.541265,3.5776484,0.6254116,-0.57612467,0.3207857,0.62899345
2019-06-27,0.83512056,0.57545686,0.543113,3.6799464,0.63018686,-0.5858703,0.33181727,0.6352505
2019-06-28,0.8537522,0.57192457,0.5481596,3.9694374,0.6460553,-0.6038581,0.35153577,0.6526314
2019-06-29,0.8596518,0.5727553,0.5482991,4.066734,0.6506115,-0.6136054,0.36423227,0.65919983
2019-06-30,0.8175939,0.61109287,0.5361336,3.6882472,0.6245491,-0.5346494,0.36820772,0.64434224
2019-07-01,0.77803874,0.6471724,0.5235974,3.329668,0.5994575,-0.45717117,0.36925733,0.63054395
2019-07-02,0.7747584,0.64538246,0.51795787,3.2568507,0.5937408,-0.46048287,0.36729732,0.626533
2019-07-03,0.77253187,0.6425501,0.5125608,3.2077034,0.58973014,-0.4642147,0.36522058,0.62257224
2019-07-04,0.77125347,0.6387751,0.50741696,3.1798356,0.5872546,-0.46832648,0.36302438,0.6186767
2019-07-05,0.7708177,0.63415736,0.50253695,3.170858,0.5861435,-0.47277802,0.36070597,0.61486125
2019-07-06,0.7711189,0.62879664,0.49793142,3.1783807,0.58622605,-0.47752914,0.3582627,0.6111408
2019-07-07,0.7720513,0.62279266,0.49361107,3.200014,0.5873316,-0.4825396,0.35569173,0.6075303
2019-07-08,0.7735094,0.61624527,0.4895865,3.2333682,0.58928925,-0.48776922,0.35299045,0.6040446
2019-07-09,0.7753876,0.60925424,0.48586842,3.2760534,0.5919283,-0.4931778,0.35015607,0.60069865
2019-07-10,0.77758014,0.6019195,0.48246747,3.3256798,0.59507805,-0.49872515,0.3471859,0.59750736
2019-07-11,0.7799815,0.5943406,0.47939426,3.3798575,0.59856766,-0.50437105,0.34407726,0.59448564
2019-07-12,0.782486,0.5866176,0.4766595,3.436197,0.60222644,-0.51007533,0.34082732,0.5916484
2019-07-13,0.78498805,0.5788501,0.4742738,3.4923084,0.60588366,-0.5157978,0.33743346,0.5890106
2019-07-14,0.78738195,0.571138,0.47224787,3.545802,0.60936844,-0.52149826,0.3338929,0.58658713
2019-07-15,0.78956217,0.5635811,0.47059232,3.594288,0.6125102,-0.52713645,0.33020294,0.58439285
2019-07-16,0.791423,0.5562792,0.4693178,3.6353765,0.61513805,-0.5326722,0.32636085,0.58244276
2019-07-17,0.79285884,0.549332,0.468435,3.666678,0.6170813,-0.53806543,0.3223639,0.5807517
2019-07-18,0.79376405,0.54283947,0.46795455,3.6858025,0.6181691,-0.5432758,0.31820944,0.5793347
2019-07-19,0.79403305,0.53690124,0.4678871,3.69036,0.6182309,-0.5482631,0.31389463,0.5782065
2019-07-20,0.79356015,0.53161716,0.4682433,3.6779613,0.6170957,-0.5529872,0.30941683,0.5773821
2019-07-21,0.7922397,0.5270871,0.46903384,3.6462162,0.6145929,-0.5574079,0.3047733,0.57687646
