date,Tmed,Tmin,Tmax,Osc.,Prec.,TH,PAcum,TS
2019-11-24,-2.3908333333333345,-2.9499999999999886,-1.740000000000009,1.2099999999999795,0.0,-3.107864896025289,999.5979166666666,-2.4700000000000273
2019-11-25,-2.761875000000001,-3.509999999999991,-1.8999999999999773,1.6100000000000136,0.0,-3.307886578620364,994.0020833333333,-3.410000000000025
2019-11-26,-0.5041666666666688,-1.7699999999999818,0.05000000000001137,1.8199999999999932,0.03958333333333333,-0.6482832146504361,984.8625000000001,-0.35000000000002274
2019-11-27,-0.1320833333333328,-0.36000000000001364,0.10000000000002274,0.4600000000000364,0.2604166666666667,-0.264676080187302,977.9583333333334,-0.01999999999998181
2019-11-28,0.4506249999999987,-0.18000000000000682,1.9700000000000273,2.150000000000034,0.30416666666666664,0.32217436801768606,967.3249999999999,0.7200000000000273
2019-11-29,-0.5616666666666686,-5.949999999999989,3.9599999999999795,9.909999999999968,0.37916666666666665,-0.7847604474140613,960.9895833333334,3.9499999999999886
2019-11-30,-6.67875,-7.819999999999993,-5.230000000000018,2.589999999999975,0.0,-7.221103559490108,973.4479166666666,-7.689999999999998
2019-12-01,-3.404999999999999,-7.480000000000018,-0.9900000000000091,6.490000000000009,0.043750000000000004,-3.9281164647884363,975.4083333333333,-2.730000000000018
2019-12-02,-4.302291666666666,-5.7099999999999795,-3.0500000000000114,2.659999999999968,0.0,-4.924584023818842,975.5020833333333,-4.389999999999986
2019-12-03,-4.132916666666666,-5.9599999999999795,-1.1800000000000068,4.779999999999973,0.004166666666666667,-4.588888483992054,979.1770833333334,-5.860000000000014
2019-12-04,1.992291666666669,-0.7799999999999727,3.5,4.279999999999973,0.06666666666666667,1.6673966376551002,973.7645833333332,2.5400000000000205
2019-12-05,3.0118750000000034,0.9700000000000273,4.180000000000007,3.2099999999999795,0.02916666666666667,2.1861837543693414,967.6437500000001,2.9700000000000273
2019-12-06,2.614583333333331,1.75,3.1499999999999773,1.3999999999999773,0.09375,2.3760510571474716,959.7916666666666,3.019999999999982
2019-12-07,0.5106250000000022,-0.08999999999997499,2.5500000000000114,2.6399999999999864,0.29375,0.3583895263978411,958.4645833333334,0.7900000000000205
2019-12-08,-0.6885416666666716,-1.3700000000000045,-0.040000000000020464,1.329999999999984,0.09999999999999999,-0.963908237705359,956.46875,-0.6000000000000227
2019-12-09,0.22000000000000006,-3.5,2.680000000000007,6.180000000000007,0.10833333333333334,-0.2539682232659963,952.46875,1.6899999999999977
2019-12-10,-4.974791666666667,-7.259999999999991,-3.6499999999999773,3.6100000000000136,0.0,-5.594441824528233,979.9270833333334,-4.850000000000023
2019-12-11,-1.581666666666667,-6.839999999999975,1.4399999999999977,8.279999999999973,0.06041666666666667,-2.0155515535107447,981.4083333333333,-2.1999999999999886
2019-12-12,-0.3762499999999965,-1.9700000000000273,1.4499999999999886,3.420000000000016,0.17708333333333334,-0.6246172767950328,977.8270833333332,-0.040000000000020464
2019-12-13,-0.10812499999999996,-0.8299999999999841,0.589999999999975,1.419999999999959,0.08125,-0.30260915846889114,974.8729166666667,-0.4300000000000068
2019-12-14,-0.04749999999999588,-0.18000000000000682,0.160000000000025,0.34000000000003183,0.052083333333333336,-0.20414421671336092,973.1291666666666,-0.07999999999998408
2019-12-15,-0.06020833333333423,-0.2799999999999727,0.3100000000000023,0.589999999999975,0.10625000000000001,-0.20059707251069261,969.6854166666667,-0.06999999999999318
2019-12-16,0.3747916666666633,-0.040000000000020464,1.0299999999999727,1.0699999999999932,0.03541666666666667,0.24580219999150496,969.7729166666667,0.2400000000000091
2019-12-17,-0.030416666666663872,-0.2300000000000182,0.13999999999998636,0.37000000000000455,0.07708333333333334,-0.20963083820566517,973.9229166666668,-0.040000000000020464
2019-12-18,-0.1118750000000001,-0.7200000000000273,0.060000000000002274,0.7800000000000296,0.19999999999999998,-0.2617471905140369,970.5541666666667,0.060000000000002274
2019-12-19,-1.1129166666666659,-1.6999999999999886,-0.6200000000000045,1.079999999999984,0.0,-1.3730349363609997,985.1395833333332,-1.4700000000000273
2019-12-20,-0.05229166666666529,-1.240000000000009,0.5199999999999818,1.759999999999991,0.2854166666666667,-0.19100053124663274,982.4708333333333,-0.009999999999990905
2019-12-21,0.5464583333333314,0.2699999999999818,0.7300000000000182,0.4600000000000364,0.014583333333333335,0.41868916595376504,971.5395833333333,0.6100000000000136
2019-12-22,0.932500000000001,0.12000000000000455,3.0600000000000023,2.9399999999999977,0.03333333333333333,0.8074737060638683,967.9604166666667,0.18999999999999773
2019-12-23,1.4868749999999988,0.6100000000000136,2.6100000000000136,2.0,0.0,1.1713456495176386,974.3604166666668,1.490000000000009
2019-12-24,-0.1087499999999982,-0.6399999999999864,0.6299999999999955,1.2699999999999818,0.014583333333333335,-0.29907548419698293,980.5479166666668,0.01999999999998181
2019-12-25,-0.8279166666666692,-1.170000000000016,-0.5699999999999932,0.6000000000000227,0.15416666666666667,-0.9934898650300955,982.3854166666666,-0.7400000000000091
2019-12-26,-2.255625000000002,-2.920000000000016,-1.2699999999999818,1.650000000000034,0.012500000000000002,-2.5189561590531304,988.5291666666667,-1.8500000000000227
2019-12-27,-7.7954166666666636,-10.75,-2.9700000000000273,7.779999999999973,0.0,-8.324002099932915,1001.31875,-8.45999999999998
2019-12-28,-10.562083333333332,-12.189999999999998,-8.0,4.189999999999998,0.0,-11.125116991486173,1010.6395833333332,-11.899999999999977
2019-12-29,-2.441999999999998,-7.680000000000007,-0.9359999999999786,6.744000000000028,0.11041666666666666,-4.925713121383294,991.725,-1.6499999999999773
2019-12-30,3.0270833333333336,1.9499999999999886,3.6100000000000136,1.660000000000025,0.03125,2.7785799392359416,968.6791666666667,3.3500000000000227
2019-12-31,-1.2364583333333325,-4.339999999999975,2.2900000000000205,6.6299999999999955,0.004166666666666667,-2.166884431154228,972.9291666666667,-1.2200000000000273
2020-01-01,1.1114583333333374,-2.9599999999999795,6.079999999999984,9.039999999999964,0.010416666666666666,0.09416622342164709,978.3874999999999,-0.5600000000000023
2020-01-02,3.537291666666666,2.410000000000025,5.339999999999975,2.92999999999995,0.0022222222222222222,1.9924359888641086,973.0812500000001,4.769999999999982
2020-01-03,2.5558333333333323,-0.9599999999999795,4.529999999999973,5.489999999999952,0.07916666666666666,1.7496409495437053,963.3291666666668,3.8999999999999773
2020-01-04,-1.0108333333333366,-1.6200000000000045,-0.17000000000001592,1.4499999999999886,0.006250000000000001,-2.4463836500285,960.2166666666667,-1.0600000000000023
2020-01-05,-4.621874999999998,-6.579999999999984,-1.5,5.079999999999984,0.0375,-6.332071657871462,987.4354166666667,-5.399999999999977
2020-01-06,-1.1710416666666699,-4.4599999999999795,-0.35000000000002274,4.109999999999957,0.03541666666666667,-1.3562708182688423,984.6416666666668,-0.44999999999998863
2020-01-07,1.4890000000000008,-0.4300000000000068,2.930000000000007,3.3600000000000136,0.03617021276595745,1.5832527000530416,982.8874999999999,2.2200000000000273
2020-01-08,3.2295833333333293,1.0699999999999932,5.5,4.430000000000007,0.18958333333333333,2.812058463438348,969.6270833333333,3.339999999999975
2020-01-09,0.2575000000000003,-1.7799999999999727,1.589999999999975,3.3699999999999477,0.0,-0.9508436102402471,975.1958333333333,0.6399999999999864
2020-01-10,-2.1404166666666633,-3.0500000000000114,-0.9399999999999977,2.1100000000000136,0.0,-2.9227072523759,984.5500000000001,-3.0500000000000114
2020-01-11,-1.6727083333333326,-3.5299999999999727,0.839999999999975,4.369999999999948,0.06458333333333334,-2.3026659550236226,983.5291666666667,-3.3000000000000114
2020-01-12,1.9177083333333382,-0.2400000000000091,3.8700000000000045,4.110000000000014,0.07708333333333334,1.6489611825469677,968.1583333333333,3.730000000000018
2020-01-13,-0.611874999999999,-1.0400000000000205,-0.2400000000000091,0.8000000000000114,0.0,-1.1489974497171922,975.75625,-0.29000000000002046
2020-01-14,1.1189583333333377,-0.07999999999998408,2.730000000000018,2.8100000000000023,0.03333333333333333,0.2457352796357748,975.9104166666666,0.9499999999999886
2020-01-15,3.5627083333333354,1.8000000000000114,6.3799999999999955,4.579999999999984,0.11875000000000001,2.8906611202211425,966.5604166666667,1.9700000000000273
2020-01-16,2.837916666666665,1.329999999999984,3.5500000000000114,2.2200000000000273,0.0,2.0106299602618596,977.8020833333334,2.8100000000000023
2020-01-17,2.2789583333333354,1.0,3.730000000000018,2.730000000000018,0.0020833333333333333,1.772988226044727,987.55625,1.3899999999999864
2020-01-18,2.429791666666668,0.4700000000000273,3.7200000000000273,3.25,0.027083333333333334,1.9457277115483997,981.5979166666666,2.730000000000018
2020-01-19,0.726166666666669,-1.3000000000000114,3.5500000000000114,4.850000000000023,0.016666666666666666,0.2070725946671491,987.2312499999999,1.6499999999999773
2020-01-20,1.9846875000000008,-1.1200000000000045,8.089999999999975,9.20999999999998,0.0020833333333333333,2.022329662271884,991.0,0.9359999999999786
2020-01-21,5.1562499999999964,1.1999999999999886,9.670000000000016,8.470000000000027,0.0,2.2382787804041944,978.6895833333333,7.8700000000000045
2020-01-22,0.8204374999999994,-3.230000000000018,2.9599999999999795,6.189999999999998,0.0020833333333333333,-1.231247323224668,980.7375000000001,-1.170000000000016
2020-01-23,-2.303125,-4.470000000000027,0.10000000000002274,4.57000000000005,0.02916666666666667,-2.9351653191981817,983.8562499999999,-3.8799999999999955
2020-01-24,-0.03250000000000005,-1.2300000000000182,1.1000000000000227,2.330000000000041,0.0,-0.8608320895781039,970.5833333333334,0.3100000000000023
2020-01-25,-0.8804166666666665,-3.910000000000025,1.6399999999999864,5.550000000000011,0.0,-2.5514957834295564,972.7020833333332,1.3799999999999955
2020-01-26,-1.833958333333328,-5.680000000000007,1.240000000000009,6.920000000000016,0.08750000000000001,-2.228524215051992,976.2958333333332,0.4900000000000091
2020-01-27,-5.782291666666665,-7.1200000000000045,-4.319999999999993,2.8000000000000114,0.09791666666666667,-6.2857351840148725,982.3645833333334,-6.779999999999973
2020-01-28,-1.5008333333333337,-4.25,0.45999999999997954,4.7099999999999795,0.18333333333333335,-1.710543133187416,974.3874999999999,-2.769999999999982
2020-01-29,-0.5987499999999978,-1.6299999999999955,0.2400000000000091,1.8700000000000045,0.02916666666666667,-0.8081927295969787,973.2958333333332,-0.3100000000000023
2020-01-30,-1.6035416666666684,-1.8999999999999773,-1.2900000000000205,0.6099999999999568,0.21875,-1.8276599859621767,974.1104166666668,-1.6100000000000136
2020-01-31,-2.182291666666668,-2.519999999999982,-1.920000000000016,0.5999999999999659,0.010416666666666666,-2.408123257181263,973.0,-2.3600000000000136
2020-02-01,-1.0366666666666642,-2.4700000000000273,0.12000000000000455,2.590000000000032,0.17500000000000002,-1.2082174999518505,963.1374999999999,-1.589999999999975
2020-02-02,0.9568750000000014,-1.1399999999999864,3.910000000000025,5.050000000000011,0.1708333333333333,0.7089876885430607,952.0291666666667,1.8899999999999864
2020-02-03,-3.3195833333333353,-7.019999999999982,-1.5,5.519999999999982,0.0020833333333333333,-4.371519186402565,964.4187499999999,-2.6499999999999773
2020-02-04,-7.717083333333334,-9.25,-6.1299999999999955,3.1200000000000045,0.0,-8.209254910093364,976.4187499999999,-9.220000000000027
2020-02-05,-3.8683333333333323,-9.579999999999984,-0.4399999999999977,9.139999999999986,0.08125,-4.419126037015685,978.0458333333332,-5.050000000000011
2020-02-06,-7.117083333333334,-10.329999999999984,-3.480000000000018,6.849999999999966,0.0,-8.140386031574781,985.0979166666666,-10.220000000000027
2020-02-07,-5.584374999999997,-9.480000000000018,-0.029999999999972715,9.450000000000045,0.016666666666666666,-6.174287174003787,993.7979166666668,-8.550000000000011
2020-02-08,-0.8706249999999969,-1.8100000000000023,0.05000000000001137,1.8600000000000136,0.010416666666666666,-1.0167234794055164,987.9562500000001,-1.6899999999999977
2020-02-09,0.5410416666666696,-0.9200000000000159,2.930000000000007,3.8500000000000227,0.09791666666666667,0.3856458244257795,972.5291666666667,-0.6200000000000045
2020-02-10,2.6399999999999992,1.6800000000000068,3.4700000000000273,1.7900000000000205,0.16041666666666668,2.2936333050334867,937.9041666666667,2.579999999999984
2020-02-11,0.39124999999999943,-0.6399999999999864,2.1999999999999886,2.839999999999975,0.0,-0.3073093696807021,943.6729166666668,-0.5799999999999841
2020-02-12,0.699999999999997,0.30000000000001137,1.3999999999999773,1.099999999999966,0.003125,0.1549778291711404,955.1020833333333,0.6899999999999977
2020-02-13,-0.1843750000000052,-1.4800000000000182,0.37999999999999545,1.8600000000000136,0.008,-0.5208770956359524,966.7375000000001,0.01999999999998181
2020-02-14,-1.9185416666666661,-4.0,0.20999999999997954,4.2099999999999795,0.0020833333333333333,-2.742554380617397,983.9416666666666,-2.7099999999999795
2020-02-15,-1.0499999999999983,-4.389999999999986,1.160000000000025,5.550000000000011,0.11458333333333333,-1.3259827861221398,983.3874999999999,-1.329999999999984
2020-02-16,2.3364583333333315,1.1000000000000227,5.689999999999998,4.589999999999975,0.19791666666666666,2.1170941256790816,967.3395833333334,1.6100000000000136
2020-02-17,3.4360416666666658,2.0500000000000114,5.769999999999982,3.7199999999999704,0.052083333333333336,2.4825934958186244,954.2125,2.180000000000007
2020-02-18,3.417083333333332,1.910000000000025,4.689999999999998,2.7799999999999727,0.04583333333333334,2.2107323899161213,959.7916666666666,1.920000000000016
2020-02-19,0.4766666666666654,-2.8999999999999773,3.079999999999984,5.979999999999961,0.008333333333333333,-0.38082364125855944,969.4499999999999,0.11000000000001364
2020-02-20,-4.1529166666666635,-5.0,-1.5500000000000114,3.4499999999999886,0.0,-4.956456776956951,983.7520833333333,-4.930000000000007
2020-02-21,0.877916666666664,-0.9399999999999977,2.069999999999993,3.009999999999991,0.07708333333333334,0.38589607597821907,972.3312500000001,0.20999999999997954
2020-02-22,1.9425000000000037,0.2300000000000182,3.3100000000000023,3.079999999999984,0.30833333333333335,1.5318085808941875,956.6833333333334,3.1899999999999977
2020-02-23,0.7983333333333332,-0.22000000000002728,2.4499999999999886,2.670000000000016,0.012500000000000002,-0.37382318828488176,950.1020833333333,-0.05000000000001137
2020-02-24,-0.8964583333333316,-2.9499999999999886,1.1800000000000068,4.1299999999999955,0.0,-3.420260728893141,964.8791666666666,-1.2799999999999727
2020-02-25,-3.1208333333333313,-6.860000000000014,0.29000000000002046,7.150000000000034,0.0,-5.659959861182531,972.0145833333332,-6.860000000000014
2020-02-26,-5.106249999999996,-9.20999999999998,-1.420000000000016,7.789999999999964,0.0,-7.041513750559569,970.6583333333333,-8.20999999999998
2020-02-27,-6.413333333333333,-10.350000000000023,-1.829999999999984,8.520000000000039,0.0,-8.635914821871522,974.8125,-9.29000000000002
2020-02-28,-6.3425,-10.79000000000002,-1.6100000000000136,9.180000000000007,0.0,-8.374494985346738,974.8416666666667,-10.269999999999982
2020-02-29,-4.824375000000001,-9.920000000000016,-1.509999999999991,8.410000000000025,0.0,-6.422832840568174,972.1583333333333,-8.720000000000027
2020-03-01,-2.1343749999999986,-5.1299999999999955,0.36000000000001364,5.490000000000009,0.1729166666666667,-2.424515920243858,962.3916666666668,-4.189999999999998
